,vehicle,Standard,fuel,Stock
0,Bus,China 0,diesel,5222.333333333333
1,Bus,China 0,gasoline,48494.5
2,Bus,China 0,others,53.66666666666667
3,Bus,China 1,diesel,17996.333333333336
4,Bus,China 1,gasoline,39225.16666666667
5,Bus,China 1,others,482.33333333333337
6,Bus,China 2,diesel,93687.33333333334
7,Bus,China 2,gasoline,180323.33333333334
8,Bus,China 2,others,7634.0
9,Bus,China 3,diesel,760078.0
10,Bus,China 3,gasoline,100916.5
11,Bus,China 3,others,151409.5
12,Bus,China 4,diesel,447721.5
13,Bus,China 4,gasoline,78281.5
14,Bus,China 4,others,247497.5
15,Bus,China 5,diesel,5737.5
16,Bus,China 5,gasoline,0.0
17,Bus,China 5,others,135350.0
18,HDT,China 0,diesel,899.3333333333334
19,HDT,China 0,gasoline,150.5
20,HDT,China 1,diesel,43645.666666666664
21,HDT,China 1,gasoline,274.16666666666663
22,HDT,China 2,diesel,241750.0
23,HDT,China 2,gasoline,8777.333333333332
24,HDT,China 3,diesel,3225518.5
25,HDT,China 3,gasoline,4829.5
26,HDT,China 4,diesel,2099365.5
27,HDT,China 4,gasoline,570.5
28,HDT,China 5,diesel,0.0
29,HDT,China 5,gasoline,0.0
30,LCV,China 0,diesel,303.0
31,LCV,China 0,gasoline,546.0
32,LCV,China 1,diesel,95623.5
33,LCV,China 1,gasoline,113832.5
34,LCV,China 2,diesel,1035812.0
35,LCV,China 2,gasoline,417509.5
36,LCV,China 3,diesel,4423847.0
37,LCV,China 3,gasoline,1253049.0
38,LCV,China 4,diesel,3464484.5
39,LCV,China 4,gasoline,2845902.0
40,LCV,China 5,diesel,0.0
41,LCV,China 5,gasoline,634641.0
42,MDT,China 0,diesel,522.0
43,MDT,China 0,gasoline,287.0
44,MDT,China 1,diesel,17890.0
45,MDT,China 1,gasoline,392.0
46,MDT,China 2,diesel,119902.0
47,MDT,China 2,gasoline,2237.5
48,MDT,China 3,diesel,919928.5
49,MDT,China 3,gasoline,370.5
50,MDT,China 4,diesel,314328.5
51,MDT,China 4,gasoline,194.0
52,MDT,China 5,diesel,0.0
53,MDT,China 5,gasoline,0.0
54,PC,China 0,diesel,1228.0
55,PC,China 0,gasoline,373666.0
56,PC,China 0,others,4326.5
57,PC,China 1,diesel,28020.0
58,PC,China 1,gasoline,7356019.5
59,PC,China 1,others,35716.5
60,PC,China 2,diesel,103514.0
61,PC,China 2,gasoline,14045609.5
62,PC,China 2,others,68759.5
63,PC,China 3,diesel,654263.5
64,PC,China 3,gasoline,33132455.0
65,PC,China 3,others,257359.5
66,PC,China 4,diesel,596736.5
67,PC,China 4,gasoline,84590575.75
68,PC,China 4,others,1083196.25
69,PC,China 5,diesel,0.0
70,PC,China 5,gasoline,18017600.25
71,PC,China 5,others,401751.75
